id,pair,sex,l_fem,r_fem,l_tib,r_tib,tot_abdo,thorax,eggs,mated,avgfem,avgtib,lnthor,lnab,lnfem,lntib
93, ,m,3.684,3.621,3.091,3.072,6.528,2.631, ,0,3.6525,3.0815,.967364002058156,1.87610061766181,1.29541186464272,1.12541649142016
96, ,m,3.643,3.612,3.28,3.177,6.329,2.758, ,0,3.6275,3.2285,1.01450577937111,1.84514224579317,1.28854370577621,1.17201763308438
97, ,m,3.516,3.516,2.984,2.949,5.564,2.658, ,0,3.516,2.9665,.977573960291054,1.7163172740612,1.25732397982293,1.08738280671656
99, ,m,3.62,3.603,3.185,3.175,6.061,2.802, ,0,3.6115,3.18,1.03033344791482,1.80187480296915,1.28412319850876,1.15688119679209
100, ,m,3.657, ,3.143,3.13,6.006,2.915, ,0,3.657,3.1365,1.06986981980246,1.79275896956114,1.29664313916724,1.14310752855466
104, ,m,3.414,3.434,2.922,2.934,5.863,2.789, ,0,3.424,2.928,1.02568310864535,1.76866141798208,1.2308094582795,1.07431959609907
105, ,m,3.695,3.708,3.149,3.135,5.938,2.961, ,0,3.7015,3.142,1.08552704911945,1.78137237634157,1.30873814290102,1.14485953983343
107, ,m,3.593,3.606,3.054,3.046,5.896,3.084, ,0,3.5995,3.05,1.12622745570108,1.77427415488704,1.28079494692722,1.11514159061932
108, ,m,3.338,3.34,2.856,2.846,5.813,2.56, ,0,3.339,2.851,.940007258491471,1.76009678871921,1.20567136096152,1.04766980993053
109, ,m,3.597,3.512,3.069,3.006,5.943,2.8, ,0,3.5545,3.0375,1.02961941718116,1.78221405638452,1.2682144063874,1.11103480866667
113, ,m,3.454,3.428,2.953,2.97,5.425,2.832, ,0,3.441,2.9615,1.04098317583147,1.69101789942652,1.23576212681534,1.08569589673488
114,21,m,3.432,3.316,2.847,2.903,5.539,2.741, ,1,3.374,2.875,1.00832281732065,1.71181397905097,1.21609898412378,1.05605267424931
116,22,m,3.732,3.726,3.158,3.125,6.396,2.912, ,1,3.729,3.1415,1.06884013033444,1.85567279497171,1.31614010119668,1.14470039286086
118,23,m,3.978,3.983,3.419,3.423,6.418,3.301, ,1,3.9805,3.421,1.19422545287106,1.85910654268767,1.3814074395465,1.22993290599547
125, ,m,3.403,3.478,2.846,2.862,5.53,2.672, ,0,3.4405,2.854,.982827255674399,1.71018781553424,1.2356168096604,1.04872151905464
126,24,m,3.37,3.391,3.058,3.019,6.042,2.747, ,1,3.3805,3.0385,1.01050940711314,1.79873508296448,1.2180236275486,1.11136397259327
130, ,m,3.357,3.349,2.854,2.862,5.547,2.8, ,0,3.353,2.858,1.02961941718116,1.7132572410731,1.20985546748409,1.05012207950768
131, ,m,3.38, ,3.091, ,5.787,3.007, ,0,3.38,3.091,1.10094290400639,1.7556140225917,1.21787570949493,1.12849466314998
132, ,m,3.894,3.84,3.325,3.318,6.176,2.896, ,0,3.867,3.3215,1.06333047452347,1.82067081272248,1.35247901262516,1.20041648812316
134, ,m,3.594, ,2.998,2.75,5.878,2.707, ,0,3.594,2.874,.995841010632164,1.77121656799673,1.27926578836137,1.05570478765683
135, ,m,3.436,3.457,3.043,3.037,5.895,2.742, ,0,3.4465,3.04,1.00868758114012,1.77410453398933,1.23735922334357,1.11185751541813
136, ,m,3.827,3.857,3.355, ,6.432,3.005, ,0,3.842,3.355,1.10027756798717,1.86128553187667,1.34599306434636,1.21045177042365
137, ,m,3.373,3.325,2.781,2.771,6.172,2.866, ,0,3.349,2.776,1.05291732940598,1.82002293450091,1.20866179381207,1.02101104264456
138, ,m,3.527,3.563,3,3.087,6.155,2.732, ,0,3.545,3.0435,1.00503394170854,1.81726475963642,1.26553815998409,1.11300816895184
141, ,m,3.588, ,3.113,3.091,6.051,2.698, ,0,3.588,3.102,.992510757785564,1.80022354764018,1.27759494419655,1.13204706475435
142, ,m,3.768,3.808,3.148,3.159,6.258,3.019, ,0,3.788,3.1535,1.1049256507247,1.83386064524669,1.33183817532383,1.14851294712157
143, ,m,3.749,3.794,3.37, ,6.301,2.948, ,0,3.7715,3.37,1.08112697432709,1.84070835095992,1.32747280031155,1.21491274436427
144, ,m,3.872, ,3.371,3.63,6.268,3.072, ,0,3.872,3.5005,1.12232881528543,1.83545732449377,1.35377116941433,1.25290581543512
145, ,m,3.724, ,3.201,3.258,6.262,2.894, ,0,3.724,3.2295,1.06263962820929,1.83449962290421,1.31479835941482,1.17232732649039
148, ,m,3.723,3.748,3.161,3.33,6.183,2.974, ,0,3.7355,3.2455,1.08990784803796,1.82180359057643,1.31788167843372,1.17726942149139
149, ,m,3.267,3.254,2.713,2.752,5.493,2.564, ,0,3.2605,2.7325,.941568539058424,1.70347455436048,1.18188055785112,1.00521694106856
151, ,m,3.673, ,3.175,3.116,6.165,2.949, ,0,3.673,3.1455,1.08146612983314,1.81888813661631,1.30100876683753,1.14597286002795
152, ,m,3.549,3.502,2.916,2.944,5.579,2.767, ,0,3.5255,2.93,1.01776370080479,1.71900954886339,1.26002227017696,1.07500242302898
153, ,m,3.749,3.761,3.321,3.319,6.449,2.98, ,0,3.755,3.32,1.09192330051731,1.86392508002824,1.3230882852161,1.1999647829284
155, ,m,3.712,3.707,3.019,3.121,6.221,2.8, ,0,3.7095,3.07,1.02961941718116,1.82793066553288,1.31089709664744,1.12167756159911
156, ,m,3.728,3.675,3.166,3.146,6.612,2.726, ,0,3.7015,3.156,1.00283533327434,1.88888617995878,1.30873814290102,1.14930540298363
158, ,m,3.408,3.493,2.84,2.871,5.789,2.734, ,0,3.4505,2.8555,1.00576573830176,1.75595956509687,1.23851914807852,1.04924695912278
159, ,m,3.625,3.663,3.174,3.238,6.289,2.619, ,0,3.644,3.206,.962792565525575,1.83880207556137,1.29308197939771,1.16502405418736
161, ,m,3.573, ,3.161,3.002,6.074,2.693, ,0,3.573,3.0815,.990655813829462,1.80401736662356,1.27340557904127,1.12541649142016
162, ,m,3.736,3.691,3.236,3.206,6.195,2.845, ,0,3.7135,3.221,1.04556306757829,1.82374251508111,1.31197482812721,1.16969187034906
164,25,m,3.521, ,3.154,3.217,6.215,2.784, ,1,3.521,3.1855,1.02388874247217,1.82696572496267,1.25874504017292,1.15860926257441
166, ,m,3.578,3.575,3.047,3.062,5.92,2.705, ,0,3.5765,3.0545,.995101912298445,1.77833644889591,1.2743846685663,1.11661591310768
167, ,m,3.591,3.558,3.018,3.024,6.025,2.863, ,0,3.5745,3.021,1.05187002611598,1.79591747937672,1.27382530622477,1.10558790240454
168, ,m,3.501, ,2.898, ,5.465,2.773, ,0,3.501,2.898,1.01992976663364,1.6983641216285,1.25304864197253,1.06402084389849
169, ,m,3.777,3.649,3.11,3.302,6.154,2.9, ,0,3.713,3.206,1.06471073699243,1.81710227689985,1.31184017519494,1.16502405418736
